age_tuned;ISOBENd13cLOESSsmooth;ISOBENd18oLOESSsmooth
0.750;-1.250;4.830
0.752;-1.239;4.777
0.754;-1.203;4.749
0.756;-1.184;4.721
0.758;-1.267;4.695
0.760;-1.364;4.665
0.762;-1.468;4.620
0.764;-1.534;4.564
0.766;-1.452;4.506
0.768;-1.290;4.446
0.770;-1.069;4.385
0.772;-0.848;4.318
0.774;-0.685;4.232
0.776;-0.542;4.136
0.778;-0.442;4.040
0.780;-0.369;3.957
0.782;-0.276;3.887
0.784;-0.232;3.837
0.786;-0.329;3.794
0.788;-0.478;3.806
0.790;-0.664;3.950
0.792;-0.861;4.173
0.794;-1.025;4.518
0.796;-1.153;4.842
0.798;-1.226;5.002
0.800;-1.256;5.078
0.802;-1.224;5.026
0.804;-1.127;4.919
0.806;-1.015;4.790
0.808;-0.923;4.700
0.810;-0.853;4.612
0.812;-0.861;4.534
0.814;-0.871;4.454
0.816;-0.796;4.341
0.818;-0.704;4.225
0.820;-0.628;4.122
0.822;-0.593;4.057
0.824;-0.663;4.089
0.826;-0.717;4.148
0.828;-0.667;4.206
0.830;-0.603;4.249
0.832;-0.513;4.200
0.834;-0.430;4.150
0.836;-0.443;4.180
0.838;-0.482;4.232
0.840;-0.512;4.262
0.842;-0.495;4.176
0.844;-0.475;4.059
0.846;-0.440;3.930
0.848;-0.404;3.821
0.850;-0.410;3.805
0.852;-0.438;3.828
0.854;-0.452;3.891
0.856;-0.481;3.950
0.858;-0.574;3.912
0.860;-0.695;3.876
0.862;-0.804;3.890
0.864;-0.930;3.988
0.866;-1.136;4.313
0.868;-1.326;4.663
0.870;-1.400;4.930
0.872;-1.454;5.022
0.874;-1.480;5.032
0.876;-1.474;4.991
0.878;-1.454;4.928
0.880;-1.427;4.874
0.882;-1.397;4.827
0.884;-1.394;4.831
0.886;-1.419;4.851
0.888;-1.487;4.871
0.890;-1.535;4.883
0.892;-1.567;4.871
0.894;-1.534;4.841
0.896;-1.267;4.791
0.898;-0.937;4.726
0.900;-0.632;4.623
0.902;-0.399;4.514
0.904;-0.396;4.438
0.906;-0.454;4.378
0.908;-0.459;4.351
0.910;-0.455;4.334
0.912;-0.426;4.288
0.914;-0.422;4.246
0.916;-0.474;4.224
0.918;-0.548;4.234
0.920;-0.643;4.294
0.922;-0.786;4.382
0.924;-1.058;4.523
0.926;-1.302;4.653
0.928;-1.358;4.710
0.930;-1.336;4.715
0.932;-1.242;4.615
0.934;-1.139;4.482
0.936;-1.170;4.363
0.938;-1.087;4.278
0.940;-0.969;4.205
0.942;-0.755;4.146
0.944;-0.545;4.089
0.946;-0.496;4.024
0.948;-0.479;3.948
0.950;-0.383;3.851
0.952;-0.294;3.749
0.954;-0.255;3.627
0.956;-0.248;3.524
0.958;-0.298;3.481
0.960;-0.392;3.511
0.962;-0.557;3.690
0.964;-0.708;3.928
